continent,location,date,population,new_vaccinations,RollingPeopleVaccinated,Percent_Vaccinated
Asia,Afghanistan,2021-06-10,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-11,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-12,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-13,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-14,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-15,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-16,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-17,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-18,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-19,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-20,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-21,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-22,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-23,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-24,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-25,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-26,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-27,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-28,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-29,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-06-30,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-01,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-02,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-03,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-04,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-05,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-06,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-07,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-08,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-09,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-10,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-11,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-12,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-13,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-14,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-15,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-16,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-17,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-18,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-19,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-20,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-21,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-22,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-23,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-24,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-25,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-26,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-27,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-28,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-29,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-30,41128772,,6874,0.016713360661485346
Asia,Afghanistan,2021-07-31,41128772,,6874,0.016713360661485346
